date,status,speaker,title,url,last_checked,language,type
2025-06-26,Success,Ben Pruitt,Living Between Two Desires Pastor Ben Pruitt 62525,https://www.youtube.com/watch?v=Z6jRNw1mw6g,2025-12-28,Unknown,Full Sermon
2022-03-02,Success,Unknown Speaker,"Russia, Rome and the United States in Prophecy",https://www.youtube.com/watch?v=A7Nhdqm6M70,2025-12-28,Unknown,Full Sermon
2023-07-30,Success,Unknown Speaker,Identifying Our Present Character in God's Word Part 2 Examining Ourselves,https://www.youtube.com/watch?v=cLci6ZFd8vs,2025-12-28,Unknown,Full Sermon
2022-10-16,Success,Unknown Speaker,A Home To Come Back To Part 5 Repairing the House,https://www.youtube.com/watch?v=vPTJKsQ3iok,2025-12-28,Unknown,Full Sermon
2025-03-16,Success,Ben Pruitt,Pastor Ben Pruitt 3162025 SM,https://www.youtube.com/watch?v=MkvSHC0QBcY,2025-12-28,Unknown,Full Sermon
2023-04-17,Success,Unknown Speaker,Choosing Your Crown,https://www.youtube.com/watch?v=rNWEn0EOpaU,2025-12-28,Unknown,Full Sermon
2022-08-07,Success,Unknown Speaker,Contacting Your Heavenly Home Part 3,https://www.youtube.com/watch?v=8YXOU97KoZ0,2025-12-28,Unknown,Full Sermon
2020-07-05,Success,Stuart Duckworth,Bro. Stuart Duckworth,https://www.youtube.com/watch?v=Zg1ZDrTmuYs,2025-12-28,Unknown,Full Sermon
2023-08-13,Success,Unknown Speaker,Supernaturally Kept,https://www.youtube.com/watch?v=up2DghGjFoY,2025-12-28,Unknown,Full Sermon
2024-05-26,Success,Unknown Speaker,In The Presence of the Son,https://www.youtube.com/watch?v=Yg7txfyOQ8g,2025-12-28,Unknown,Full Sermon
2024-03-07,Success,Unknown Speaker,Christ is the Mystery of God Revealed Part 3 The Principal Theme of Our Life,https://www.youtube.com/watch?v=LLcscheCbwg,2025-12-28,Unknown,Full Sermon
2022-06-16,Success,Unknown Speaker,Bro. John Gbadoku Knowing Who We Are,https://www.youtube.com/watch?v=b1UmnptxN-k,2025-12-28,Unknown,Full Sermon
