date,status,speaker,title,url,last_checked,language,type
2025-11-02,Success,Andrew Glover,"Bro Andrew Glover | Confidence In His Appearing, Not Ashamed At His Coming | 11-02-2025",https://www.youtube.com/watch?v=el2HrwMlAkM,2025-12-28,English,Full Sermon
2025-11-05,Success,Matt Morse,Pastor Matt Morse  There Standeth One Among You 11-05-2025,https://www.youtube.com/watch?v=dwg9sDxfDjk,2025-12-28,Unknown,Full Sermon
2025-11-05,Success,Matt Morse,Pastor Matt Morse | There Standeth One Among You| 11-05-2025,https://www.youtube.com/watch?v=dwg9sDxfDjk,2025-12-28,English,Full Sermon
2025-11-09,Success,Matt Morse,Pastor Matt Morse  Setting Your Affections On Things Above  11-09-2025,https://www.youtube.com/watch?v=gc9U7fjrp38,2025-12-28,Unknown,Full Sermon
2025-11-09,Success,Matt Morse,Pastor Matt Morse | Setting Your Affections On Things Above | 11-09-2025,https://www.youtube.com/watch?v=gc9U7fjrp38,2025-12-28,English,Full Sermon
2025-11-16,Success,Matt Morse,Pastor Matt Morse  11-16-25,https://www.youtube.com/watch?v=CL-nc3NXpDI,2025-12-28,Unknown,Full Sermon
2025-11-16,Success,Matt Morse,Pastor Matt Morse | 11-16-25,https://www.youtube.com/watch?v=CL-nc3NXpDI,2025-12-28,English,Full Sermon
2025-11-23,Success,Unknown Speaker,Bro Darrell Ward  Unshackled  11-23-25,https://www.youtube.com/watch?v=WLbb91v3mB4,2025-12-28,Unknown,Full Sermon
2025-11-23,Success,Unknown Speaker,Bro Darrell Ward | Unshackled | 11-23-25,https://www.youtube.com/watch?v=WLbb91v3mB4,2025-12-28,English,Full Sermon
2025-11-30,Success,Matt Morse,Pastor Matt Morse  11-30-25,https://www.youtube.com/watch?v=hCRg_AHOM3c,2025-12-28,Unknown,Full Sermon
2025-11-30,Success,Matt Morse,Pastor Matt Morse || 11-30-25,https://www.youtube.com/watch?v=hCRg_AHOM3c,2025-12-28,English,Full Sermon
2025-12-07,Success,Homer Longoria,Bro Homer Longoria  12-06-25,https://www.youtube.com/watch?v=rlKFs_XO4oo,2025-12-28,Unknown,Full Sermon
2025-12-07,Success,Homer Longoria,Bro Homer Longoria || 12-06-25,https://www.youtube.com/watch?v=rlKFs_XO4oo,2025-12-28,English,Full Sermon
2025-12-13,Success,Matt Morse,Pastor Matt Morse  12-10-25,https://www.youtube.com/watch?v=7Fl0ysNWphE,2025-12-28,Unknown,Full Sermon
2025-12-13,Success,Matt Morse,Pastor Matt Morse || 12-10-25,https://www.youtube.com/watch?v=7Fl0ysNWphE,2025-12-28,English,Full Sermon
2025-12-14,Success,Matt Morse,Pastor Matt Morse  The God of Our Fathers 12-14-25,https://www.youtube.com/watch?v=HbW8WweL8CU,2025-12-28,Unknown,Full Sermon
2025-12-14,Success,Matt Morse,Pastor Matt Morse | The God of Our Fathers |12-14-25,https://www.youtube.com/watch?v=HbW8WweL8CU,2025-12-28,English,Full Sermon
2025-12-18,Success,Joe Reynolds,Bro Joe Reynolds  12-17-25,https://www.youtube.com/watch?v=8JoUmQB6Meg,2025-12-28,Unknown,Full Sermon
2025-12-18,Success,Joe Reynolds,Bro Joe Reynolds || 12-17-25,https://www.youtube.com/watch?v=8JoUmQB6Meg,2025-12-28,English,Full Sermon
2025-12-21,Success,Matt Morse,Pastor Matt Morse  Bethlehem Dwellers  12-21-25,https://www.youtube.com/watch?v=6jnYmH-rVdk,2025-12-28,Unknown,Full Sermon
2025-12-21,Success,Matt Morse,Pastor Matt Morse | Bethlehem Dwellers | 12-21-25,https://www.youtube.com/watch?v=6jnYmH-rVdk,2025-12-28,English,Full Sermon
2025-12-28,Success,Andrew Glover,Bro Andrew Glover  12-28-25,https://www.youtube.com/watch?v=DbEmyFvdiPU,2025-12-28,Unknown,Full Sermon
2025-12-28,Success,Andrew Glover,Bro Andrew Glover || 12-28-25,https://www.youtube.com/watch?v=DbEmyFvdiPU,2025-12-28,English,Full Sermon
